City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Lebedyan,RU,2021-09-02 14:57:35,53.0194,39.1664,51.73,92,100,7.45
164,Ponta Do Sol,PT,2021-09-02 14:57:36,32.6667,-17.1,81.23,79,59,1.52
165,Half Moon Bay,US,2021-09-02 14:55:29,37.4636,-122.4286,60.13,84,75,0.0
166,Boa Vista,BR,2021-09-02 14:57:39,2.8197,-60.6733,89.58,51,40,10.36
167,Tiksi,RU,2021-09-02 14:57:41,71.6872,128.8694,43.81,74,74,8.7
168,Maldonado,UY,2021-09-02 14:57:43,-34.6667,-54.9167,58.39,95,100,2.37
169,Mogadishu,SO,2021-09-02 14:57:46,2.0371,45.3438,78.26,83,16,15.46
170,Karasburg,NA,2021-09-02 14:57:48,-28.0167,18.75,78.08,8,0,24.61
171,Tornio,FI,2021-09-02 14:57:50,65.8481,24.1466,46.42,71,100,6.51
172,San Quintin,MX,2021-09-02 14:57:51,30.4833,-115.95,68.13,82,99,8.16
173,Labuan,MY,2021-09-02 14:57:52,5.2767,115.2417,77.36,94,40,4.61
174,Lashio,MM,2021-09-02 14:57:53,22.9333,97.75,70.02,98,74,1.23
175,Hambantota,LK,2021-09-02 14:57:56,6.1241,81.1185,80.94,89,20,9.22
176,Matara,LK,2021-09-02 14:57:57,5.9485,80.5353,78.24,86,100,7.43
177,Okhotsk,RU,2021-09-02 14:57:57,59.3833,143.3,54.93,88,42,5.14
178,Bay City,US,2021-09-02 14:57:59,43.5945,-83.8889,71.06,69,1,6.91
179,San Carlos De Bariloche,AR,2021-09-02 14:58:02,-41.1456,-71.3082,47.95,71,75,3.44
180,Zlitan,LY,2021-09-02 14:58:04,32.4674,14.5687,87.28,57,0,19.33
181,Gayeri,BF,2021-09-02 14:58:05,12.6497,0.4931,87.58,53,99,12.84
182,Pascagoula,US,2021-09-02 14:58:07,30.3658,-88.5561,83.03,81,3,3.53
183,Diffa,NE,2021-09-02 14:58:08,13.3154,12.6113,101.93,24,19,2.68
184,Yeppoon,AU,2021-09-02 14:58:10,-23.1333,150.7333,64.18,72,100,17.76
185,Adre,TD,2021-09-02 14:58:11,13.4667,22.2,94.55,25,100,1.63
186,Corrente,BR,2021-09-02 14:58:13,-3.7367,-43.3394,90.52,42,59,4.25
187,Saurimo,AO,2021-09-02 14:58:15,-9.6608,20.3916,93.36,9,53,4.41
188,Papara,BR,2021-09-02 14:58:16,-3.9839,-38.7273,86.4,32,8,9.08
189,Avarua,CK,2021-09-02 14:58:19,-21.2078,-159.775,69.85,100,95,6.91
190,Mehamn,NO,2021-09-02 14:58:21,71.0357,27.8492,42.03,96,100,26.4
191,Sioux Lookout,CA,2021-09-02 14:58:22,50.1001,-91.917,61.18,77,90,4.61
192,Faanui,PF,2021-09-02 14:58:24,-16.4833,-151.75,78.39,69,1,20.94
193,Vestmannaeyjar,IS,2021-09-02 14:58:27,63.4427,-20.2734,54.59,94,90,9.22
194,Liepaja,LV,2021-09-02 14:58:28,56.5419,21.0367,59.05,58,20,9.22
195,Ekibastuz,KZ,2021-09-02 14:58:30,51.6667,75.3667,60.75,49,7,6.8
196,Harper,LR,2021-09-02 14:58:30,4.375,-7.7169,80.76,77,99,13.0
197,Wuwei,CN,2021-09-02 14:58:32,37.9281,102.6414,67.77,74,100,10.25
198,Bubaque,GW,2021-09-02 14:58:33,11.2833,-15.8333,80.35,78,62,12.01
199,Itatuba,BR,2021-09-02 14:58:36,-7.375,-35.6283,86.81,32,13,14.0
200,Ippy,CF,2021-09-02 14:58:38,6.2679,21.2247,77.22,90,80,2.51
201,Vila Do Maio,CV,2021-09-02 14:58:40,15.1333,-23.2167,84.99,85,88,12.95
202,Teya,RU,2021-09-02 14:58:41,60.3778,92.6267,39.15,90,36,2.33
203,Ostrovnoy,RU,2021-09-02 14:58:43,68.0531,39.5131,44.44,86,96,11.34
204,Tomatlan,MX,2021-09-02 14:58:45,19.9333,-105.25,79.21,87,60,0.98
205,Tromso,NO,2021-09-02 14:58:46,69.6496,18.957,45.25,87,75,4.61
206,Carutapera,BR,2021-09-02 14:58:48,-1.195,-46.02,82.53,75,70,6.06
207,Aykhal,RU,2021-09-02 14:58:50,66.0,111.5,35.56,74,68,13.67
208,Venice,US,2021-09-02 14:58:52,27.0998,-82.4543,86.0,88,1,7.0
209,Pozo Colorado,PY,2021-09-02 14:58:53,-23.4923,-58.7972,96.76,18,0,11.88
210,Fevik,NO,2021-09-02 14:58:55,58.3794,8.6766,78.1,50,2,12.33
211,Taonan,CN,2021-09-02 14:58:58,45.3333,122.7833,65.43,94,98,7.34
212,Batagay-Alyta,RU,2021-09-02 14:58:58,67.8006,130.4114,46.87,58,100,0.69
213,Guatire,VE,2021-09-02 14:59:00,10.4762,-66.5427,87.21,55,11,4.05
214,Bethel,US,2021-09-02 14:59:02,41.3712,-73.414,70.2,73,0,1.99
215,Belyy Yar,RU,2021-09-02 14:59:04,53.6039,91.3903,58.89,58,0,8.95
216,Hauterive,FR,2021-09-02 14:59:07,46.0901,3.4459,83.98,38,40,9.1
217,Visby,SE,2021-09-02 14:59:09,57.6409,18.296,65.95,67,0,13.8
218,Suluq,LY,2021-09-02 14:59:10,31.6682,20.2521,86.95,35,0,22.68
219,Tilichiki,RU,2021-09-02 14:59:12,60.4667,166.1,47.84,93,22,4.05
220,Luanda,AO,2021-09-02 14:57:02,-8.8368,13.2343,69.8,94,75,8.05
221,Asfi,MA,2021-09-02 14:59:18,32.2994,-9.2372,75.27,75,15,15.55
222,Voznesenye,RU,2021-09-02 14:59:20,61.0106,35.4781,50.25,56,100,11.45
223,Teshie,GH,2021-09-02 14:55:08,5.5836,-0.1072,77.56,88,75,3.44
224,Hami,CN,2021-09-02 14:59:23,42.8,93.45,82.71,24,100,14.32
225,Biak,ID,2021-09-02 14:59:23,-0.9131,122.8766,75.27,87,94,7.29
226,Qandala,SO,2021-09-02 14:59:24,11.472,49.8728,88.95,58,68,2.86
227,Viytivka,UA,2021-09-02 14:55:02,48.426,29.5429,57.16,53,94,19.48
228,Anqing,CN,2021-09-02 14:59:21,30.5092,117.0506,77.11,91,12,5.1
229,Georgetown,MY,2021-09-02 14:58:00,5.4112,100.3354,78.89,88,40,2.3
230,Balakhta,RU,2021-09-02 14:59:29,55.38,91.6,52.54,56,92,6.08
231,Truth Or Consequences,US,2021-09-02 14:59:31,33.1284,-107.2528,69.91,82,2,4.25
232,Inhambupe,BR,2021-09-02 14:59:32,-11.7844,-38.3531,84.87,44,56,11.43
233,Nikolskoye,RU,2021-09-02 14:59:35,59.7035,30.7861,55.29,61,71,7.87
234,Leh,IN,2021-09-02 14:58:15,34.1667,77.5833,61.65,29,19,6.2
235,Krasnokamensk,RU,2021-09-02 14:59:37,50.0979,118.0369,59.79,84,95,1.25
236,Sao Filipe,CV,2021-09-02 14:59:38,14.8961,-24.4956,79.34,80,100,8.08
237,Kruisfontein,ZA,2021-09-02 14:59:39,-34.0033,24.7314,67.89,85,97,12.59
238,Sakata,JP,2021-09-02 14:57:09,38.9167,139.855,65.17,81,19,8.61
239,Partenit,UA,2021-09-02 14:55:02,44.578,34.3446,69.21,70,34,11.61
240,Vostok,RU,2021-09-02 14:59:43,46.4856,135.8833,52.95,86,51,3.67
241,Atambua,ID,2021-09-02 14:59:44,-9.1061,124.8925,72.23,88,40,4.9
242,Bonthe,SL,2021-09-02 14:59:44,7.5264,-12.505,85.03,63,80,12.08
243,Penarroya-Pueblonuevo,ES,2021-09-02 14:59:46,38.3,-5.2667,84.31,28,54,7.47
244,Lompoc,US,2021-09-02 14:59:48,34.6391,-120.4579,60.48,88,90,4.61
245,Praya,CV,2021-09-02 14:56:21,14.9215,-23.5087,84.74,79,75,13.8
246,Ketchikan,US,2021-09-02 14:59:50,55.3422,-131.6461,54.07,94,90,6.91
247,Lasa,IT,2021-09-02 14:59:53,46.6166,10.7002,73.69,60,48,4.21
248,Payo,ID,2021-09-02 14:59:55,-3.7508,103.6372,71.87,99,100,2.53
249,Kemin,KG,2021-09-02 14:59:55,42.7846,75.6892,64.42,72,51,2.66
250,Petropavlovsk-Kamchatskiy,RU,2021-09-02 14:57:56,53.0452,158.6483,48.79,100,75,4.47
251,Kelvington,CA,2021-09-02 14:59:56,52.1667,-103.5343,51.46,66,1,18.21
252,Lebyazhye,RU,2021-09-02 14:59:59,55.2689,66.4947,64.71,43,7,12.62
253,Kloulklubed,PW,2021-09-02 15:00:01,7.0419,134.2556,84.96,69,100,8.16
254,Adrar,MR,2021-09-02 15:00:03,20.5022,-10.0711,106.66,10,2,18.01
255,Cervo,ES,2021-09-02 15:00:08,43.6702,-7.4101,67.96,79,100,5.7
256,Jacmel,HT,2021-09-02 15:00:09,18.2342,-72.5347,83.52,72,89,6.35
257,Nalut,LY,2021-09-02 15:00:11,30.3333,10.85,105.3,10,4,4.83
258,Asau,RO,2021-09-02 15:00:13,46.4333,26.4,65.39,67,100,4.09
259,Sandwick,GB,2021-09-02 15:00:15,60.0,-1.25,55.22,76,75,8.05
260,Paciran,ID,2021-09-02 15:00:16,-6.8767,112.3761,78.51,70,55,7.09
261,Mareeba,AU,2021-09-02 15:00:17,-17.0,145.4333,68.72,85,36,3.62
262,Sloboda,RU,2021-09-02 15:00:19,51.1421,40.3021,59.13,93,100,8.08
263,Mackenzie,CA,2021-09-02 15:00:20,55.2999,-123.1698,47.68,70,12,3.02
264,Buala,SB,2021-09-02 15:00:22,-8.145,159.5921,78.49,85,84,7.67
265,Inhambane,MZ,2021-09-02 15:00:24,-23.865,35.3833,70.68,68,1,8.25
266,Oneonta,US,2021-09-02 15:00:26,42.4529,-75.0638,66.29,76,0,3.0
267,Suileng,CN,2021-09-02 15:00:27,47.25,127.0833,61.02,90,49,5.84
268,Iranshahr,IR,2021-09-02 15:00:28,27.2025,60.6848,98.51,7,6,9.93
269,Ilam,NP,2021-09-02 15:00:29,26.9167,87.9167,69.53,92,100,2.64
270,Yumen,CN,2021-09-02 15:00:30,40.2833,97.2,73.8,26,100,9.73
271,Liverpool,GB,2021-09-02 15:00:31,53.4106,-2.9779,72.84,63,75,4.0
272,Lavrentiya,RU,2021-09-02 15:00:33,65.5833,-171.0,44.55,83,100,7.83
273,Sibolga,ID,2021-09-02 15:00:35,1.7427,98.7792,76.73,83,100,3.11
274,Mount Isa,AU,2021-09-02 15:00:15,-20.7333,139.5,60.57,100,1,0.0
275,Morbegno,IT,2021-09-02 15:00:36,46.1383,9.57,81.68,60,67,3.49
276,Muzhi,RU,2021-09-02 15:00:38,65.3667,64.6667,55.26,76,100,12.53
277,Vila,PT,2021-09-02 15:00:40,42.0304,-8.1588,71.71,65,78,6.78
278,Lianyuan,CN,2021-09-02 15:00:42,27.6883,111.6642,80.33,87,41,2.64
279,Lowestoft,GB,2021-09-02 15:00:42,52.4752,1.7516,66.34,79,77,12.24
280,Sorong,ID,2021-09-02 15:00:44,-0.8833,131.25,79.72,82,100,4.32
281,Taoudenni,ML,2021-09-02 15:00:45,22.6783,-3.9836,115.59,6,10,9.44
282,Celestun,MX,2021-09-02 15:00:46,20.8667,-90.4,83.08,68,100,7.87
283,Aubenas,FR,2021-09-02 15:00:48,44.6201,4.3899,82.76,59,89,9.91
284,Santa Vitoria Do Palmar,BR,2021-09-02 15:00:49,-33.5189,-53.3681,62.17,94,100,4.7
285,Ishigaki,JP,2021-09-02 14:56:15,24.3448,124.1572,83.37,75,10,6.67
286,Darnah,LY,2021-09-02 15:00:52,32.767,22.6367,80.4,66,0,17.92
287,Alice Springs,AU,2021-09-02 15:00:19,-23.7,133.8833,78.35,27,92,11.5
288,Tazovskiy,RU,2021-09-02 15:00:55,67.4667,78.7,46.98,77,100,14.76
289,Ambositra,MG,2021-09-02 15:00:57,-20.5167,47.25,58.51,74,0,7.43
290,Nema,RU,2021-09-02 15:00:59,57.5067,50.5011,55.6,75,100,5.61
291,Tucuma,BR,2021-09-02 15:01:01,-0.1833,-50.05,88.61,56,39,1.95
292,Klaksvik,FO,2021-09-02 15:01:03,62.2266,-6.589,54.52,83,97,12.82
293,Margate,GB,2021-09-02 15:01:05,51.3813,1.3862,66.85,75,16,15.99
294,Koani,TZ,2021-09-02 15:01:07,-6.1333,39.2833,77.56,70,22,13.11
